Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
"int [] arr = { 1, 2, 3};",Declares the array we want to use for our assignment,We initialize the array of type int to hold the specified numbers.,4
"int [] arr = { 1, 2, 3};",Declares the array we want to use for our assignment,We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,3
for ( int i = 0; i < arr.length; i++ ) {,This line assures that we loop over all the elements in the array we want to increment,We want to iterate over the array and increment each element in the array by 1.,4
for ( int i = 0; i < arr.length; i++ ) {,This line assures that we loop over all the elements in the array we want to increment,"To really change the array as we march across it, we need to use indexes so we can assign an updated value to each position as we go.",1
for ( int i = 0; i < arr.length; i++ ) {,This line assures that we loop over all the elements in the array we want to increment,We need the array indexes to start at 0 (array indexes start from 0) with every integer number up to but not including the array length.,1
arr[i] += 1;,extracts to value at the i-th index of the array and adds 1 to that value.,This statement increments the element at the index i of the array by 1.,4
arr[i] += 1;,then it stores that value back in the array at the i-th index,This statement increments the element at the index i of the array by 1.,2
int num = 15;,variable decleration: declares the number we are trying to divide,We define variable num to store the number that we want to find its smallest divisor.,4
int num = 15;,variable decleration: declares the number we are trying to divide,We could initialize it to any positive integer greater than 1.,1
int num = 15;,variable decleration: declares the number we are trying to divide,"In this program, we initialize variable num to 15.",2
int divisor = 2;,variable decleration. Declares the start point of where we want to test from,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,2
int divisor = 2;,variable decleration. Declares the start point of where we want to test from,We define variable divisor to store the smallest divisor of the number.,2
divisor += 1;,"if the loop condition is true, then we increment the divisor by 1","When the divisor is not a factor of the number, we increment the variable divisor by 1.",3
while (num % divisor != 0) {,checks if the module of the expression is not equal to 0 and will loop until the condition is true.,"Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",2
while (num % divisor != 0) {,checks if the module of the expression is not equal to 0 and will loop until the condition is true.,We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,2
while (num % divisor != 0) {,checks if the module of the expression is not equal to 0 and will loop until the condition is true.,"Therefore, we need to use a loop structure.",1
while (num % divisor != 0) {,checks if the module of the expression is not equal to 0 and will loop until the condition is true.,"The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",3
while (num % divisor != 0) {,checks if the module of the expression is not equal to 0 and will loop until the condition is true.,We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,3
while (num % divisor != 0) {,"if it is not 0, the condition is true which causes the loop to go","Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",1
while (num % divisor != 0) {,"if it is not 0, the condition is true which causes the loop to go",We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,"if it is not 0, the condition is true which causes the loop to go","Therefore, we need to use a loop structure.",1
while (num % divisor != 0) {,"if it is not 0, the condition is true which causes the loop to go","The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",2
while (num % divisor != 0) {,"if it is not 0, the condition is true which causes the loop to go",We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,2
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);",prints to the consol for the user to see what the smallest divisor was of the number,This statement prints to the default standard output stream the smallest divisor of the number.,4
"int [] arr = { 1, 2, 3};",create java array list with all the elements are integers,We initialize the array of type int to hold the specified numbers.,3
"int [] arr = { 1, 2, 3};",create java array list with all the elements are integers,We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,2
for ( int i = 0; i < arr.length; i++ ) {,iterate all elements in the array,We want to iterate over the array and increment each element in the array by 1.,3
for ( int i = 0; i < arr.length; i++ ) {,iterate all elements in the array,"To really change the array as we march across it, we need to use indexes so we can assign an updated value to each position as we go.",2
for ( int i = 0; i < arr.length; i++ ) {,iterate all elements in the array,We need the array indexes to start at 0 (array indexes start from 0) with every integer number up to but not including the array length.,2
arr[i] += 1;,Add 1 to i.,This statement increments the element at the index i of the array by 1.,1
arr[i] += 1;,Each iteration will add 1 to the next element in the array.,This statement increments the element at the index i of the array by 1.,3
int num = 15;,"declare a integer called num, and assign it's value with 15",We define variable num to store the number that we want to find its smallest divisor.,3
int num = 15;,"declare a integer called num, and assign it's value with 15",We could initialize it to any positive integer greater than 1.,2
int num = 15;,"declare a integer called num, and assign it's value with 15","In this program, we initialize variable num to 15.",5
int divisor = 2;,"declare an integer named divisor, assign it's value to 2.",We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,4
int divisor = 2;,"declare an integer named divisor, assign it's value to 2.",We define variable divisor to store the smallest divisor of the number.,3
while (num % divisor != 0) {,write a loop.,"Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",2
while (num % divisor != 0) {,write a loop.,We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,write a loop.,"Therefore, we need to use a loop structure.",5
while (num % divisor != 0) {,write a loop.,"The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",2
while (num % divisor != 0) {,write a loop.,We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,1
while (num % divisor != 0) {,"the condition is ""if the remainder of number divided by divisor is not zero"", then enter the loop","Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",1
while (num % divisor != 0) {,"the condition is ""if the remainder of number divided by divisor is not zero"", then enter the loop",We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,2
while (num % divisor != 0) {,"the condition is ""if the remainder of number divided by divisor is not zero"", then enter the loop","Therefore, we need to use a loop structure.",1
while (num % divisor != 0) {,"the condition is ""if the remainder of number divided by divisor is not zero"", then enter the loop","The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",3
while (num % divisor != 0) {,"the condition is ""if the remainder of number divided by divisor is not zero"", then enter the loop",We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,2
divisor += 1;,add 1 to divisor,"When the divisor is not a factor of the number, we increment the variable divisor by 1.",4
